"","Date","Water.temp.max","Water.temp.min","Water.temp.mean","Discharge.mean","DO.max","DO.min","DO.mean","Month"
"1",2024-01-29,11.6,10.8,11.1,13700,10.9,10.4,10.6,"01"
"2",2024-01-30,11.8,10.6,11.1,16100,10.9,10.4,10.5,"01"
"3",2024-01-31,11.8,10.7,11.1,18300,10.4,10.2,10.3,"01"
"4",2024-02-01,11.2,10.1,10.6,25700,10.6,10.4,10.5,"02"
"5",2024-02-02,11.1,10.3,10.7,25800,10.6,10.5,10.5,"02"
"6",2024-02-03,11.3,10.4,10.8,26000,10.7,10.5,10.6,"02"
"7",2024-02-04,10.9,10.1,10.4,26400,10.7,10.5,10.6,"02"
"8",2024-02-05,10.3,9.9,10.1,25400,10.8,10.6,10.7,"02"
"9",2024-02-06,10.1,9.3,9.7,25300,11.1,10.7,10.9,"02"
"10",2024-02-07,10,9,9.4,25800,11.2,10.9,11,"02"
"11",2024-02-08,10.3,9.2,9.7,26800,11,10.8,10.9,"02"
"12",2024-02-09,10,9.8,9.9,13000,10.8,10.2,10.7,"02"
"13",2024-02-10,11.2,10,10.5,11000,10.7,10,10.5,"02"
"14",2024-02-11,11.8,11.1,11.4,11900,10.7,10.3,10.5,"02"
"15",2024-02-12,11.8,11.6,11.6,25300,10.5,10.5,10.5,"02"
"16",2024-02-13,12,11.3,11.6,26200,10.6,10.4,10.5,"02"
"17",2024-02-14,12,10.6,11.2,21100,10.5,10.4,10.5,"02"
"18",2024-02-15,13,11.4,11.8,17000,10.5,10.1,10.4,"02"
"19",2024-02-16,13.1,12.4,12.7,14000,10.4,10,10.2,"02"
"20",2024-02-17,12.7,12.3,12.6,15400,10.4,9.7,10.2,"02"
"21",2024-02-18,12.3,11.2,11.6,15100,10.5,10.2,10.3,"02"
"22",2024-02-19,11.3,10.8,11,11600,10.5,9.9,10.2,"02"
"23",2024-02-20,11.2,10.8,11,7740,10.4,9.9,10.2,"02"
"24",2024-02-21,12.1,10.8,11.2,4430,10.4,9.7,10.1,"02"
"25",2024-02-22,11.8,10.8,11.2,3510,10.4,9.6,10,"02"
"26",2024-02-23,14.6,11.3,12,3260,10.8,9.4,9.8,"02"
"27",2024-02-24,13.3,12.1,12.7,3450,10.2,9.5,10,"02"
"28",2024-02-25,13.2,11.8,12.5,3400,10.1,9.4,9.8,"02"
"29",2024-02-26,13,11.7,12.3,3880,10.2,9.2,9.7,"02"
"30",2024-02-27,12.9,11.9,12.5,3280,10.2,9.1,9.7,"02"
"31",2024-02-28,16.5,12.8,13.8,3200,10.7,8.8,9.8,"02"
"32",2024-02-29,14.8,13.9,14.3,3370,9.9,8.8,9.6,"02"
"33",2024-03-01,13.9,13.1,13.4,4700,10,9.2,9.7,"03"
"34",2024-03-02,14,12.8,13.4,10700,10.2,9.4,9.9,"03"
"35",2024-03-03,14,13.8,13.9,15600,10.2,9.7,10,"03"
"36",2024-03-04,14.6,13.4,13.9,20500,10.1,9.8,9.9,"03"
"37",2024-03-05,15.1,13.4,14.1,24900,10.2,9.8,9.9,"03"
"38",2024-03-06,16,14.6,15.2,24600,10.2,9.8,9.9,"03"
"39",2024-03-07,15.9,14.9,15.5,24100,10,9.6,9.8,"03"
"40",2024-03-08,15.8,15.2,15.5,25300,9.8,9.6,9.7,"03"
"41",2024-03-09,15.8,15.1,15.4,25900,9.7,9.5,9.6,"03"
"42",2024-03-10,16,15.1,15.5,24500,9.6,9.4,9.5,"03"
"43",2024-03-11,15.7,14.3,15,24900,9.7,9.5,9.6,"03"
"44",2024-03-12,16.3,14.9,15.5,25900,9.7,9.3,9.5,"03"
"45",2024-03-13,16.8,15.4,16,26300,9.9,9.3,9.5,"03"
"46",2024-03-14,17.6,15.8,16.6,26300,10.1,9.3,9.7,"03"
"47",2024-03-15,17.1,16.3,16.7,26400,9.9,9.5,9.6,"03"
"48",2024-03-16,18.6,16.6,17.3,25900,9.9,9.3,9.5,"03"
"49",2024-03-17,18.5,17.5,17.8,26200,9.7,9.3,9.5,"03"
"50",2024-03-18,17.9,17,17.5,25700,9.5,9,9.2,"03"
"51",2024-03-19,17.2,15.2,16,24600,9.5,9.1,9.3,"03"
"52",2024-03-20,16.5,14.4,15.6,19100,9.6,8.8,9.3,"03"
"53",2024-03-21,16.7,15.7,16,13600,9.5,7.8,9.1,"03"
"54",2024-03-22,16.7,16.3,16.4,11500,9.4,7.7,9.1,"03"
"55",2024-03-23,17.6,16.4,16.7,11200,9.4,7.8,9,"03"
"56",2024-03-24,17.3,16.3,16.7,11600,9.6,7.7,9.1,"03"
"57",2024-03-25,16.3,15.1,15.4,11600,9.6,8.3,9.3,"03"
"58",2024-03-26,16.7,15.5,15.8,13800,9.5,8.2,9.3,"03"
"59",2024-03-27,17.4,16.7,16.9,9480,9.4,7.8,9,"03"
"60",2024-03-28,17.4,16.8,17.1,11200,9.4,8,9,"03"
"61",2024-03-29,16.9,16,16.4,11600,9.3,8.1,9.1,"03"
"62",2024-03-30,17.7,16.3,16.8,15300,9.6,8.8,9.3,"03"
"63",2024-03-31,18.4,16.8,17.3,14700,9.6,8.7,9.3,"03"
"64",2024-04-01,19.3,17.9,18.4,13700,9.6,9,9.3,"04"
"65",2024-04-02,20.5,19.2,19.6,11300,9.6,9,9.3,"04"
"66",2024-04-03,20.5,19.8,20.2,12000,9.5,8.6,8.9,"04"
"67",2024-04-04,19.8,17.9,18.5,15500,9.1,8.4,8.7,"04"
"68",2024-04-05,18.4,17.4,17.8,15400,9.2,8.9,9,"04"
"69",2024-04-06,18.4,17.1,17.5,15100,9.5,9,9.2,"04"
"70",2024-04-07,18.2,16.8,17.3,15300,9.7,9.3,9.4,"04"
"71",2024-04-08,18.8,17.6,18.1,15600,9.8,9.3,9.5,"04"
"72",2024-04-09,18.7,17.9,18.2,15300,9.7,9.3,9.5,"04"
"73",2024-04-10,19.8,18.1,18.6,13600,9.7,8.7,9.4,"04"
"74",2024-04-11,19.8,19.3,19.5,14300,9.7,8.6,9.1,"04"
"75",2024-04-12,19.8,18.9,19.5,8780,9.2,8.2,8.7,"04"
"76",2024-04-13,19.5,18.6,18.9,5680,9.4,8.4,8.9,"04"
"77",2024-04-14,20.5,18.7,19.4,5980,10,8.8,9.3,"04"
"78",2024-04-15,21.6,20.1,20.6,4870,9.7,8.2,9,"04"
"79",2024-04-16,22.6,21.1,21.6,5420,9.1,6.4,7.9,"04"
