,Date,Water.temp.max,Water.temp.min,Water.temp.mean,Discharge.max,Discharge.min,Discharge.mean,DO.max,DO.min,DO.mean,Month
1,1/29/1999,NA,NA,NA,NA,NA,19700,NA,NA,NA,1
2,1/30/1999,NA,NA,NA,NA,NA,18100,NA,NA,NA,1
3,1/31/1999,NA,NA,NA,NA,NA,19500,NA,NA,NA,1
4,2/1/1999,NA,NA,NA,NA,NA,20100,NA,NA,NA,2
5,2/2/1999,NA,NA,NA,NA,NA,16000,NA,NA,NA,2
6,2/3/1999,NA,NA,NA,NA,NA,21000,NA,NA,NA,2
7,2/4/1999,NA,NA,NA,NA,NA,21200,NA,NA,NA,2
8,2/5/1999,NA,NA,NA,NA,NA,21600,NA,NA,NA,2
9,2/6/1999,NA,NA,NA,NA,NA,21500,NA,NA,NA,2
10,2/7/1999,NA,NA,NA,NA,NA,17400,NA,NA,NA,2
11,2/8/1999,NA,NA,NA,NA,NA,13300,NA,NA,NA,2
12,2/9/1999,NA,NA,NA,NA,NA,18000,NA,NA,NA,2
13,2/10/1999,NA,NA,NA,NA,NA,16900,NA,NA,NA,2
14,2/11/1999,NA,NA,NA,NA,NA,13000,NA,NA,NA,2
15,2/12/1999,NA,NA,NA,NA,NA,11100,NA,NA,NA,2
16,2/13/1999,NA,NA,NA,NA,NA,14900,NA,NA,NA,2
17,2/14/1999,NA,NA,NA,NA,NA,17600,NA,NA,NA,2
18,2/15/1999,NA,NA,NA,NA,NA,20600,NA,NA,NA,2
19,2/16/1999,NA,NA,NA,NA,NA,20200,NA,NA,NA,2
20,2/17/1999,NA,NA,NA,NA,NA,11200,NA,NA,NA,2
21,2/18/1999,NA,NA,NA,NA,NA,13900,NA,NA,NA,2
22,2/19/1999,NA,NA,NA,NA,NA,5890,NA,NA,NA,2
23,2/20/1999,NA,NA,NA,NA,NA,6330,NA,NA,NA,2
24,2/21/1999,NA,NA,NA,NA,NA,9900,NA,NA,NA,2
25,2/22/1999,NA,NA,NA,NA,NA,9250,NA,NA,NA,2
26,2/23/1999,NA,NA,NA,NA,NA,16100,NA,NA,NA,2
27,2/24/1999,NA,NA,NA,NA,NA,12000,NA,NA,NA,2
28,2/25/1999,NA,NA,NA,NA,NA,3430,NA,NA,NA,2
29,2/26/1999,NA,NA,NA,NA,NA,0,NA,NA,NA,2
30,2/27/1999,NA,NA,NA,NA,NA,1480,NA,NA,NA,2
31,2/28/1999,NA,NA,NA,NA,NA,0,NA,NA,NA,2
32,3/1/1999,NA,NA,NA,NA,NA,5330,NA,NA,NA,3
33,3/2/1999,NA,NA,NA,NA,NA,10700,NA,NA,NA,3
34,3/3/1999,NA,NA,NA,NA,NA,13000,NA,NA,NA,3
35,3/4/1999,NA,NA,NA,NA,NA,12900,NA,NA,NA,3
36,3/5/1999,NA,NA,NA,NA,NA,15000,NA,NA,NA,3
37,3/6/1999,NA,NA,NA,NA,NA,8050,NA,NA,NA,3
38,3/7/1999,NA,NA,NA,NA,NA,7600,NA,NA,NA,3
39,3/8/1999,NA,NA,NA,NA,NA,14800,NA,NA,NA,3
40,3/9/1999,NA,NA,NA,NA,NA,13100,NA,NA,NA,3
41,3/10/1999,NA,NA,NA,NA,NA,8520,NA,NA,NA,3
42,3/11/1999,NA,NA,NA,NA,NA,5070,NA,NA,NA,3
43,3/12/1999,NA,NA,NA,NA,NA,3860,NA,NA,NA,3
44,3/13/1999,NA,NA,NA,NA,NA,3330,NA,NA,NA,3
45,3/14/1999,NA,NA,NA,NA,NA,3450,NA,NA,NA,3
46,3/15/1999,NA,NA,NA,NA,NA,3320,NA,NA,NA,3
47,3/16/1999,NA,NA,NA,NA,NA,3160,NA,NA,NA,3
48,3/17/1999,NA,NA,NA,NA,NA,3720,NA,NA,NA,3
