Date,BLH_passed,AMS_passed,Att.flow_cfs,Turbine.flow_cfs,Water.temp_max,Water.temp_min,Water.temp_mean,Discharge_max,Discharge_min,Discharge_mean,DO_max,DO_min,DO_mean
2/19/1999,0,"16,938",,"2,800.63",,,,,,"5,890.00",,,
2/20/1999,0,"12,781",,"6,055.25",,,,,,"6,330.00",,,
2/21/1999,0,23,,"9,715.96",,,,,,"9,900.00",,,
2/22/1999,0,"2,104",,"9,252.08",,,,,,"9,250.00",,,
2/23/1999,0,5,,"16,118.58",,,,,,"16,100.00",,,
2/24/1999,0,1,,"12,028.21",,,,,,"12,000.00",,,
2/25/1999,1,709,,"3,434.46",,,,,,"3,430.00",,,
2/26/1999,0,"2,242",,0,,,,,,0,,,
2/27/1999,0,"7,465",,"1,478.21",,,,,,"1,480.00",,,
2/28/1999,0,"14,211",,0,,,,,,0,,,
3/1/1999,160,"3,821",,"5,333.00",,,,,,"5,330.00",,,
3/2/1999,4,"2,129",,"10,694.92",,,,,,"10,700.00",,,
3/3/1999,3,11,,"13,002.88",,,,,,"13,000.00",,,
3/4/1999,2,211,,"12,869.13",,,,,,"12,900.00",,,
3/5/1999,136,113,,"15,031.17",,,,,,"15,000.00",,,
3/6/1999,148,189,,"8,049.96",,,,,,"8,050.00",,,
3/7/1999,321,"1,254",,"7,608.33",,,,,,"7,600.00",,,
3/8/1999,43,155,,"14,820.46",,,,,,"14,800.00",,,
3/9/1999,303,27,,"13,083.79",,,,,,"13,100.00",,,
3/10/1999,52,"1,929",,"8,519.63",,,,,,"8,520.00",,,
3/11/1999,100,"3,759",,"5,067.21",,,,,,"5,070.00",,,
3/12/1999,224,"1,336",,"3,865.33",,,,,,"3,860.00",,,
3/13/1999,3,"3,155",,"3,326.71",,,,,,"3,330.00",,,
3/14/1999,458,"1,791",,"3,452.29",,,,,,"3,450.00",,,
3/15/1999,311,"8,191",,"3,324.00",,,,,,"3,320.00",,,
3/16/1999,279,"3,678",,"3,161.00",,,,,,"3,160.00",,,
3/17/1999,324,"5,783",,"3,717.46",,,,,,"3,720.00",,,
3/18/1999,361,"20,384",,"3,705.38",,,,,,"3,700.00",,,
3/19/1999,158,"13,508",,"3,336.58",,,,,,"3,340.00",,,
3/20/1999,24,"10,902",,"3,338.38",,,,,,"3,340.00",,,
3/21/1999,540,"20,455",,"3,298.13",,,,,,"3,300.00",,,
3/22/1999,75,"3,199",,"3,377.00",,,,,,"3,380.00",,,
3/23/1999,"2,010","11,368",,"3,757.08",,,,,,"3,760.00",,,
3/24/1999,"18,882","12,356",,"3,551.79",,,,,,"3,550.00",,,
3/25/1999,542,"10,350",,"3,524.71",,,,,,"3,520.00",,,
3/26/1999,339,"8,219",,"3,038.58",,,,,,"3,040.00",,,
3/27/1999,616,"1,723",,"3,885.83",,,,,,"3,890.00",,,
3/28/1999,"3,704",907,,"2,875.79",,,,,,"2,880.00",,,
3/29/1999,"2,284","3,041",,"3,408.25",,,,,,"3,410.00",,,
3/30/1999,"2,153","4,316",,"3,392.71",,,,,,"3,390.00",,,
3/31/1999,"2,024","5,687",,"3,578.38",,,,,,"3,580.00",,,
4/1/1999,"3,239","3,592",,"3,453.00",,,,,,"3,450.00",,,
4/2/1999,"51,454","1,286",,"3,618.88",,,,,,"3,620.00",,,
4/3/1999,"1,217","6,666",,"3,923.83",,,,,,"3,920.00",,,
4/4/1999,"5,630","11,830",,"3,583.67",,,,,,"3,580.00",,,
4/5/1999,"1,446","4,766",,"3,422.71",,,,,,"3,420.00",,,
4/6/1999,221,"3,565",,"3,485.92",,,,,,"3,490.00",,,
4/7/1999,"20,499","7,381",,"3,641.08",,,,,,"3,640.00",,,
4/8/1999,"2,778","1,498",,"3,917.75",,,,,,"3,920.00",,,
4/9/1999,"8,233","6,053",,"3,345.54",,,,,,"3,350.00",,,
4/10/1999,"8,939","5,861",,"3,103.00",,,,,,"3,100.00",,,
4/11/1999,618,"3,253",,"3,169.75",,,,,,"3,170.00",,,
4/12/1999,"4,405","2,624",,"3,566.25",,,,,,"3,570.00",,,
4/13/1999,"1,182","1,077",,"3,199.00",,,,,,"3,200.00",,,
4/14/1999,"1,769","3,059",,"2,892.00",,,,,,"2,890.00",,,
4/15/1999,"2,773","2,107",,"2,900.21",,,,,,"2,900.00",,,
4/16/1999,"10,610","2,864",,"2,934.33",,,,,,"2,930.00",,,
4/17/1999,583,"1,507",,"2,901.50",,,,,,"2,900.00",,,
4/18/1999,"1,032",167,,"3,199.42",,,,,,"3,200.00",,,
4/19/1999,"2,705","1,096",,"2,901.08",,,,,,"2,900.00",,,
4/20/1999,470,"3,790",,"1,632.00",,,,,,"1,630.00",,,
4/21/1999,"1,785","3,544",,0,,,,,,34,,,
4/22/1999,"8,986","2,303",,"1,426.63",,,,,,961,,,
4/23/1999,"1,158","1,808",,0,,,,,,0,,,
